map,started_timestamp,duration,irl_duration,game_id,avg_elo,num_players,team_0_elo,team_1_elo,replay_enhanced,leaderboard,mirror,patch,raw_match_type,game_type,game_speed,starting_age
arabia,2025-01-16 20:38:35+00:00,0 days 00:51:44.200000,0 days 00:30:26,365747832,1018.0,2,1018.0,1018.0,False,random_map,True,125283,6,random_map,normal,dark
lowland,2025-01-15 17:30:48+00:00,0 days 01:03:22.900000,0 days 00:37:17,365516095,656.5,2,646.0,667.0,False,random_map,False,125283,6,random_map,normal,dark
gold_rush,2025-01-15 20:43:54+00:00,0 days 00:24:28.800000,0 days 00:14:24,365553263,532.0,4,542.5,521.5,False,team_random_map,False,125283,7,random_map,normal,dark
arabia,2025-01-14 21:21:29+00:00,0 days 00:07:35.600000,0 days 00:04:28,365363271,1107.5,2,1106.0,1109.0,False,random_map,False,125283,6,random_map,normal,dark
arabia,2025-01-17 19:07:19+00:00,0 days 00:30:25.800000,0 days 00:17:54,365936446,719.5,2,719.0,720.0,False,random_map,False,125283,6,random_map,normal,dark
arena,2025-01-17 09:37:57+00:00,0 days 00:11:55.700000,0 days 00:07:01,365847908,809.875,8,809.75,810.0,False,team_random_map,False,125283,9,random_map,normal,dark
arabia,2025-01-13 05:51:23+00:00,0 days 00:46:02.500000,0 days 00:27:05,365036833,998.0,2,989.0,1007.0,False,random_map,False,125283,6,random_map,normal,dark
land_nomad,2025-01-14 00:55:59+00:00,0 days 01:17:26.100000,0 days 00:45:33,365198341,997.75,8,1000.0,995.5,False,team_random_map,False,125283,9,random_map,normal,dark
arabia,2025-01-12 20:53:34+00:00,0 days 00:44:56.200000,0 days 00:26:26,364949422,1927.5,2,1925.0,1930.0,False,random_map,False,125283,6,random_map,normal,dark
arabia,2025-01-18 03:57:44+00:00,0 days 00:25:09.600000,0 days 00:14:48,366039249,2032.5,2,2007.0,2058.0,False,random_map,False,125283,6,random_map,normal,dark
megarandom,2025-01-17 14:15:20+00:00,0 days 00:42:47,0 days 00:25:10,365881367,1425.0,2,1408.0,1442.0,False,random_map,False,125283,6,random_map,normal,dark
nomad,2025-01-16 10:47:15+00:00,0 days 00:25:06.200000,0 days 00:14:46,365653711,1568.0,4,1559.0,1577.0,False,team_random_map,False,125283,7,random_map,normal,dark
arena,2025-01-12 04:51:43+00:00,0 days 00:25:11.300000,0 days 00:14:49,364766046,1033.0,2,1029.0,1037.0,False,random_map,False,125283,6,random_map,normal,dark
african_clearing,2025-01-14 17:39:54+00:00,0 days 00:26:19.300000,0 days 00:15:29,365318597,1171.0,2,1163.0,1179.0,False,random_map,False,125283,6,random_map,normal,dark
black_forest,2025-01-18 00:04:07+00:00,0 days 00:50:44.700000,0 days 00:29:51,366000254,707.375,8,711.5,703.25,False,team_random_map,False,125283,9,random_map,normal,dark
arena,2025-01-18 06:52:27+00:00,0 days 00:53:22.800000,0 days 00:31:24,366063053,1054.0,4,1055.0,1053.0,False,team_random_map,False,125283,7,random_map,normal,dark
arena,2025-01-16 09:02:53+00:00,0 days 00:43:44.800000,0 days 00:25:44,365645599,131.5,2,36.0,227.0,False,random_map,False,125283,6,random_map,normal,dark
nomad,2025-01-12 15:37:15+00:00,0 days 00:34:42.500000,0 days 00:20:25,364870286,1207.25,8,1192.0,1222.5,False,team_random_map,False,125283,9,random_map,normal,dark
